[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=96.8731, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=672.195, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1855.51, total_ABS_CO2=0.0243357, fitness=1.31153e-05
[t=4000] total_CO2=3682.29, total_ABS_CO2=26.1219, fitness=0.00709394
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=77.9025, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=533.386, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1451.09, total_ABS_CO2=0.0186473, fitness=1.28506e-05
[t=4000] total_CO2=2847, total_ABS_CO2=20.931, fitness=0.00735195
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=83.6917, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=66.0105, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=91.6235, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=2000] total_CO2=576.586, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=444.401, total_ABS_CO2=0, fitness=0
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=3000] total_CO2=1578.25, total_ABS_CO2=0.0200317, fitness=1.26924e-05
[t=2000] total_CO2=636.072, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=74.7066, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1190.63, total_ABS_CO2=0.0161632, fitness=1.35754e-05
[t=1000] total_CO2=97.2003, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1753.92, total_ABS_CO2=0.0214699, fitness=1.22411e-05
[t=1000] total_CO2=116.421, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=3111.49, total_ABS_CO2=22.5522, fitness=0.00724804
[t=2000] total_CO2=676.17, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=510.13, total_ABS_CO2=0, fitness=0
[t=4000] total_CO2=2308.36, total_ABS_CO2=17.5165, fitness=0.00758827
[t=4000] total_CO2=3476.02, total_ABS_CO2=24.6384, fitness=0.00708809
[t=2000] total_CO2=809.031, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1383.05, total_ABS_CO2=0.0176928, fitness=1.27926e-05
[t=3000] total_CO2=1867.92, total_ABS_CO2=0.0238172, fitness=1.27507e-05
[t=3000] total_CO2=2237.38, total_ABS_CO2=0.0312183, fitness=1.3953e-05
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=4000] total_CO2=2706.01, total_ABS_CO2=19.9872, fitness=0.0073862
[t=4000] total_CO2=3708.67, total_ABS_CO2=26.1755, fitness=0.00705792
[t=4000] total_CO2=4451.47, total_ABS_CO2=30.8795, fitness=0.00693694
[t=1000] total_CO2=68.0218, total_ABS_CO2=0, fitness=0
[t=1000] total_CO2=94.5447, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=459.782, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=655.166, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=1235.56, total_ABS_CO2=0.0161443, fitness=1.30664e-05
[t=4000] total_CO2=2401.5, total_ABS_CO2=17.9977, fitness=0.00749437
[t=3000] total_CO2=1806.47, total_ABS_CO2=0.0239557, fitness=1.32611e-05
[t=4000] total_CO2=3581.8, total_ABS_CO2=25.5719, fitness=0.00713939
[UNSTABLE] tau = 88, rho = 2.70857 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.73625 fitness = 0 (due to numerical instability)
[UNSTABLE] tau = 100, rho = 2.02294 fitness = 0 (due to numerical instability)
[t=0] total_CO2=0, total_ABS_CO2=0, fitness=nan
[t=1000] total_CO2=13.4808, total_ABS_CO2=0, fitness=0
[t=2000] total_CO2=81.711, total_ABS_CO2=0, fitness=0
[t=3000] total_CO2=205.89, total_ABS_CO2=0.00834699, fitness=4.0541e-05
